Glottocode	Pop
nucl1460	7000000
mafa1239	200000
maga1260	13000000
mars1254	10K-100K
mait1250	34000000
jala1237	10K-100K
maka1311	5000000
mala1464	38000000
mamm1241	600000
chiq1250	<10K
mara1378	83000000
masa1300	1000000
huau1238	10K-100K
sate1243	<10K
mamp1244	200000
nort2828	700000
cent2144	10K-100K
west2555	10K-100K
macu1259	10K-100K
diba1242	10K-100K
baba1267	<10K
mang1403	<10K
ilia1236	10K-100K
nade1244	<10K
maxa1247	<10K
maca1259	<10K
mboc1235	200000
mala1522	<10K
mais1250	<10K
sara1327	10K-100K
mati1250	10K-100K
mbul1260	10K-100K
mari1435	10K-100K
amol1236	<10K
maca1260	<10K
mach1267	<10K
shar1245	<10K
mats1244	<10K
mese1244	<10K
mbun1249	300000
masa1322	200000
coat1238	10K-100K
maka1304	10K-100K
esee1247	10K-100K
meny1245	10K-100K
came1252	10K-100K
mada1282	10K-100K
maba1277	300000
moks1248	<10K
magu1243	1000000
mang1394	700000
mayo1261	10K-100K
mbal1257	200000
mbol1247	10K-100K
mand1442	500000
mber1257	100000
sant1439	10K-100K
mbos1242	100000
dizi1235	10K-100K
male1284	100000
mara1385	<10K
melp1238	100000
meng1267	<10K
sout3000	<10K
meya1236	10K-100K
meke1243	10K-100K
cent2101	100000
mang1383	<10K
mend1266	3000000
keda1251	3000000
miri1266	<10K
mere1246	10K-100K
meru1245	2000000
mato1252	<10K
motu1246	10K-100K
mann1248	400000
hass1238	3000000
meno1252	<10K
patt1249	1000000
bang1365	300000
mori1278	1000000
mata1306	10K-100K
wand1278	10K-100K
nort3046	10K-100K
cros1244	10K-100K
mbee1249	10K-100K
maka1305	2000000
moba1244	400000
mbwe1238	400000
mand1419	300000
mayo1264	10K-100K
maba1273	10K-100K
moro1284	10K-100K
moru1253	10K-100K
makh1261	7000000
male1289	<10K
mamb1306	100000
meta1238	200000
east2352	800000
mamb1296	500000
mate1258	200000
matu1259	10K-100K
mbun1248	10K-100K
madi1260	300000
mauw1238	<10K
makh1265	200000
mash1267	10K-100K
bali1279	10K-100K
east2328	500000
mbuk1240	10K-100K
maru1249	10K-100K
maan1238	200000
miam1252	<10K
atat1238	10K-100K
mikm1235	<10K
nucl1706	<10K
ocot1243	10K-100K
mofu1248	10K-100K
sanm1295	10K-100K
chay1249	10K-100K
mika1239	<10K
peno1244	10K-100K
alac1244	10K-100K
mina1268	6000000
pino1237	10K-100K
misk1235	200000
isth1238	10K-100K
sout3001	<10K
caca1250	<10K
akoy1238	<10K
mixt1425	<10K
ayut1236	10K-100K
coat1241	<10K
sanj1281	10K-100K
tuuu1240	200000
kimm1245	400000
mand1409	2000000
karb1241	500000
mace1250	1000000
dhat1238	200000
moki1238	<10K
moko1243	10K-100K
kupa1239	200000
moik1239	<10K
sila1250	10K-100K
kony1250	200000
kitu1245	5000000
maka1316	100000
caol1238	200000
mana1298	<10K
n/a	25000000
mape1249	<10K
mala1484	<10K
barg1252	<10K
nucl1440	400000
malt1254	500000
toab1237	10K-100K
motl1237	<10K
mama1275	<10K
mang1404	<10K
west2430	900000
mmaa1238	10K-100K
mada1285	<10K
mbul1263	<10K
muna1247	300000
manc1252	<10K
naba1253	300000
mund1327	10K-100K
mani1292	2000000
minb1244	10000000
mans1258	<10K
monn1252	900000
mani1235	10K-100K
many1259	200000
mwan1250	10K-100K
moco1246	<10K
mont1268	10K-100K
mong1342	200000
moha1258	<10K
mong1331	5000000
mopa1243	<10K
moro1285	10K-100K
moss1236	7000000
moli1248	<10K
mach1268	<10K
marb1239	200000
maun1240	<10K
mart1256	<10K
yoso1239	10K-100K
miga1241	<10K
dadi1250	10K-100K
mian1256	<10K
misi1243	10K-100K
mbuk1243	10K-100K
kota1275	10K-100K
mama1276	10K-100K
mbel1240	10K-100K
sout2866	<10K
moro1287	10K-100K
mang1405	900000
west2418	300000
misi1242	600000
mara1382	400000
maor1246	200000
west2392	<10K
mruu1242	10K-100K
nort2845	<10K
mari1414	200000
mang1401	<10K
mara1404	1000000
kara1489	200000
n/a	77000000
masb1238	600000
muse1242	300000
saba1263	3000000
mans1262	10K-100K
agus1235	10K-100K
mans1259	10K-100K
arua1260	<10K
cota1241	10K-100K
anyi1244	300000
muni1257	<10K
muri1260	<10K
maiw1251	<10K
mosk1236	<10K
toto1305	<10K
wich1262	<10K
muon1246	1000000
mewa1249	5000000
mund1325	200000
musg1254	200000
mund1326	10K-100K
musi1241	3000000
malv1243	5000000
murl1244	10K-100K
cree1270	<10K
west2408	400000
boun1245	10K-100K
muya1243	10K-100K
mana1295	<10K
marw1256	200000
mina1269	<10K
duri1242	100000
indu1241	200000
aree1239	<10K
mwer1248	500000
murr1258	<10K
kita1249	400000
mira1251	10K-100K
sarr1246	200000
nyam1275	200000
kala1377	<10K
munc1235	10K-100K
n/a	8000000
ment1249	10K-100K
hmon1333	2000000
tezo1238	10K-100K
many1258	1000000
mban1264	400000
maxi1236	300000
mera1242	<10K
tlah1239	10K-100K
juqu1238	10K-100K
jami1235	10K-100K
metl1238	<10K
maho1249	300000
sout3002	<10K
nucl1310	33000000
mbay1241	10K-100K
mama1271	700000
meen1242	200000
mund1330	<10K
erzy1239	400000
muyu1244	<10K
masa1299	3000000
macu1260	<10K
sant1436	<10K
wich1264	10K-100K
ixca1246	<10K
many1261	100000
nige1255	100000
maza1292	10K-100K
nucl1240	400000
maza1291	6000000
movi1243	<10K
maru1252	<10K
manz1243	200000
degg1238	10K-100K
maia1251	<10K
sout2994	<10K
nara1264	<10K
naba1256	10K-100K
naga1394	10K-100K
naka1262	10K-100K
minn1241	59000000
neap1235	6000000
nama1264	300000
naas1242	10K-100K
naur1243	<10K
nava1243	200000
narr1259	<10K
nyem1238	200000
chan1313	10K-100K
kony1248	200000
sout3270	1000000
ngba1284	200000
ngge1241	<10K
sout2784	500000
iyoo1238	<10K
yale1246	<10K
nots1237	<10K
nisg1240	<10K
cent2134	200000
nort2957	10K-100K
mich1245	<10K
sibe1248	<10K
chum1261	10K-100K
cent2133	10K-100K
ndau1241	2000000
nort2795	2000000
ndal1241	200000
ndam1239	10K-100K
ndon1254	800000
ndoo1242	10K-100K
nort2627	300000
luto1241	10K-100K
ndog1248	10K-100K
tour1242	10K-100K
negi1245	<10K
neng1238	<10K
newa1246	900000
nezp1238	<10K
dhao1237	<10K
ayiw1239	<10K
nafa1258	10K-100K
ngba1285	1000000
nort2774	200000
ngom1268	200000
ngem1255	10K-100K
ngal1292	<10K
lomw1241	2000000
ngon1269	300000
ngul1246	100000
guer1241	200000
beng1286	10K-100K
chir1286	10K-100K
east2538	400000
tete1251	<10K
zaca1241	10K-100K
isth1240	<10K
more1259	10K-100K
cent2132	10K-100K
taku1257	<10K
naro1249	10K-100K
noon1243	10K-100K
west2624	400000
isth1242	10K-100K
nort2958	10K-100K
nias1242	800000
nekk1240	<10K
nyih1240	700000
niii1240	10K-100K
ngaj1237	900000
nila1242	700000
ninz1246	10K-100K
ngan1291	<10K
nand1266	1000000
niue1239	<10K
gily1242	<10K
hema1238	100000
ngit1239	10K-100K
ning1273	<10K
noct1238	10K-100K
loth1237	200000
anga1288	100000
aona1235	300000
kuny1238	10K-100K
nyis1236	200000
nkoy1244	10K-100K
nekg1240	<10K
nkon1248	10K-100K
nuku1260	<10K
boun1243	10K-100K
ngom1271	10K-100K
nalc1240	10K-100K
dutc1256	25000000
east2409	300000
gela1263	10K-100K
nyam1271	<10K
mara1379	10K-100K
tang1336	100000
kwas1243	10K-100K
moyo1238	<10K
namb1291	10K-100K
nimo1246	<10K
nawd1238	200000
nyan1301	<10K
nand1264	900000
west2513	<10K
ngai1241	<10K
ngie1241	200000
nank1250	<10K
nami1256	<10K
wanc1238	10K-100K
ngin1244	200000
sout2795	200000
woun1238	10K-100K
nort2740	6000000
nima1243	2000000
noga1249	10K-100K
noir1238	10K-100K
numa1254	<10K
norw1258	5000000
noma1263	<10K
ewag1241	10K-100K
nyam1277	400000
phom1236	100000
nepa1254	16000000
sout2973	300000
napu1241	<10K
eden1244	200000
nara1262	10K-100K
jerr1238	10K-100K
sang1321	10K-100K
sout2723	200000
nsen1242	400000
nask1242	<10K
sumi1235	100000
neha1247	<10K
pedi1238	14000000
nali1245	<10K
tase1235	100000
sier1248	10K-100K
ngaa1240	<10K
nate1242	10K-100K
ntom1248	10K-100K
nort2959	10K-100K
delo1240	10K-100K
natu1246	<10K
yuag1237	<10K
ngum1255	<10K
nyol1238	300000
niua1240	<10K
nupe1254	1000000
nuku1258	<10K
nuer1246	900000
nung1283	1000000
nort2784	200000
mehe1243	<10K
nung1290	<10K
tlam1239	10K-100K
nami1258	<10K
nyab1255	10K-100K
sout2869	<10K
naue1237	10K-100K
ngan1302	200000
naxi1245	300000
ning1274	<10K
nyan1308	12000000
nyor1244	300000
giry1241	2000000
amas1236	10K-100K
nyan1304	200000
nyan1305	300000
nyam1276	2000000
nyan1307	3000000
nyor1246	700000
nyun1247	<10K
nyun1248	400000
nyak1260	1000000
njeb1242	100000
nzim1238	400000
zeme1240	100000
obom1235	10K-100K
occi1239	500000
ogbi1239	200000
ogba1241	200000
khan1278	200000
nort2961	10K-100K
n/a	10K-100K
seve1240	10K-100K
okan1243	<10K
okpe1250	10K-100K
okie1245	10K-100K
kiri1254	300000
okuu1243	10K-100K
orok1269	10K-100K
moch1256	600000
livv1243	10K-100K
omah1247	<10K
east2443	<10K
sout2943	10K-100K
oloo1241	10K-100K
onob1238	<10K
onoo1246	10K-100K
toho1245	10K-100K
oksa1245	<10K
orej1242	<10K
n/a	35000000
n/a	37000000
orok1267	10K-100K
ormu1247	<10K
osag1243	<10K
osin1237	300000
iron1242	600000
otda1235	10K-100K
mezq1235	10K-100K
east2556	10K-100K
tena1241	10K-100K
quer1236	10K-100K
esta1236	10K-100K
otta1242	10K-100K
elfd1234	<10K
waya1270	<10K
koon1245	10K-100K
pare1272	<10K
paum1247	<10K
pang1290	1000000
tenh1241	<10K
pamp1243	2000000
panj1256	113000000
nort2954	<10K
papi1253	300000
pala1344	10K-100K
wari1268	<10K
pawn1254	<10K
paez1247	10K-100K
pata1262	10K-100K
park1239	10K-100K
pape1239	100000
cent2145	10K-100K
pnar1238	200000
bouy1240	3000000
pica1241	700000
ruch1235	300000
pard1245	100000
pait1244	10K-100K
nige1257	30000000
penn1240	100000
plau1238	400000
kaya1315	100000
mala1494	<10K
phen1239	400000
peta1245	10K-100K
east2485	10K-100K
peer1241	10K-100K
pala1330	1000000
phal1254	10K-100K
paha1251	2000000
phut1244	900000
phua1239	300000
yine1238	<10K
piar1243	10K-100K
pitc1234	<10K
yomm1242	300000
piap1246	<10K
pero1241	10K-100K
pira1254	<10K
piji1239	400000
pint1250	<10K
pitj1243	<10K
poko1261	10K-100K
poko1263	700000
puka1242	<10K
mian1254	<10K
pila1245	<10K
kohi1248	200000
shwe1236	100000
sanm1301	10K-100K
pali1279	<10K
broo1239	10K-100K
paam1238	<10K
pamo1252	100000
piem1238	2000000
poum1235	10K-100K
papu1250	500000
west2563	10K-100K
pong1250	10K-100K
pina1252	<10K
pont1253	800000
piny1238	10K-100K
sanj1285	<10K
poqo1254	10K-100K
high1276	10K-100K
poli1260	40000000
pohn1238	10K-100K
port1283	230000000
pota1247	<10K
uppe1455	300000
pogo1243	200000
umaa1242	10K-100K
pipi1250	<10K
folo1238	<10K
sanl1248	10K-100K
para1306	10K-100K
paic1239	<10K
para1301	900000
ashe1272	<10K
cent2053	2000000
sout2671	10K-100K
sout2672	200000
kaul1240	<10K
pate1247	<10K
bamb1270	10K-100K
west2631	100000
nucl1276	13000000
punu1239	200000
pawa1255	<10K
gapa1238	<10K
paiw1248	10K-100K
pwow1235	200000
powa1246	300000
pwon1235	10K-100K
puyu1239	<10K
hual1241	10K-100K
kich1262	2000000
n/a	9000000
lamb1276	10K-100K
sout2991	3000000
nort2976	100000
sant1432	10K-100K
ayac1239	900000
ambo1252	10K-100K
caja1238	10K-100K
huam1248	10K-100K
marg1254	10K-100K
nort2980	10K-100K
sanm1289	10K-100K
huay1241	300000
huay1240	300000
chiq1249	10K-100K
pana1306	10K-100K
nort2979	200000
sout2992	900000
qash1240	2000000
areq1237	10K-100K
jauj1238	10K-100K
rade1240	200000
logo1258	600000
rabh1238	200000
ramo1244	10K-100K
n/a	18000000
cane1242	<10K
raoo1244	<10K
rapa1244	<10K
raro1241	10K-100K
samp1249	10K-100K
rawa1265	10K-100K
ruma1248	100000
reun1238	600000
reja1240	400000
rend1243	10K-100K
resh1242	10K-100K
roma1328	400000
ring1244	10K-100K
rohi1238	2000000
rian1262	10K-100K
nyat1246	600000
rajb1243	100000
rikb1245	<10K
raka1237	<10K
rakh1245	2000000
mark1256	200000
rang1265	15000000
carp1235	100000
angl1239	10K-100K
kalo1256	10K-100K
balt1257	10K-100K
balk1252	600000
sint1235	200000
calo1236	400000
doma1258	300000
tavr1235	<10K
vlax1238	500000
marm1234	1000000
ruun1238	200000
rong1268	700000
rang1267	<10K
taee1237	1000000
roma1326	10K-100K
roma1329	4000000
roma1327	24000000
roto1249	<10K
krio1252	<10K
dela1251	<10K
waim1251	10K-100K
rotu1241	<10K
rath1243	500000
ruul1235	200000
rusy1239	600000
lugu1238	700000
rovi1238	<10K
chee1238	10K-100K
rund1242	11000000
arom1237	100000
megl1237	<10K
russ1263	150000000
rutu1240	10K-100K
rwaa1238	200000
rawa1267	10K-100K
marw1260	8000000
cent2126	2000000
bugl1243	10K-100K
safa1243	<10K
sang1328	2000000
yaku1245	500000
sans1269	100000
samb1315	200000
sasa1249	2000000
sant1410	7000000
saaf1238	200000
saya1246	300000
saur1248	200000
ngam1268	1000000
sout2844	10K-100K
sali1295	<10K
safw1238	200000
boto1242	10K-100K
sang1330	10K-100K
subi1246	10K-100K
soli1239	10K-100K
dong1285	200000
sadr1248	4000000
shin1264	700000
sici1248	4000000
scot1243	2000000
nort2942	<10K
tora1261	800000
sout2640	3000000
suun1239	100000
buka1257	10K-100K
orao1237	200000
sall1238	200000
sech1246	<10K
sene1264	<10K
ceba1235	3000000
nucl1396	2000000
seri1257	<10K
seka1250	<10K
selk1253	<10K
koyr1242	400000
seco1241	<10K
sehw1238	200000
maga1263	<10K
kips1239	2000000
suri1273	400000
shug1248	10K-100K
surg1246	1000000
samo1265	400000
seba1251	2000000
surs1246	<10K
shos1248	<10K
tach1250	5000000
shat1244	10K-100K
shil1265	200000
shan1277	4000000
ship1254	10K-100K
shii1238	700000
shus1248	<10K
chad1249	2000000
tach1249	2000000
sida1246	4000000
paas1238	10K-100K
tumu1242	200000
mend1268	<10K
sinh1246	16000000
epen1239	<10K
kild1236	<10K
xibe1242	10K-100K
surj1235	1000000
siar1238	<10K
senh1238	50000
ters1235	<10K
sauk1252	<10K
saka1291	1000000
siku1242	10K-100K
sika1262	200000
sera1259	26000000
maia1254	<10K
siss1242	10K-100K
lowe1388	10K-100K
slov1269	5000000
salt1242	<10K
pang1291	10K-100K
lama1277	200000
sala1264	10K-100K
slov1268	2000000
sela1260	100000
sout2674	<10K
nort2671	10K-100K
lule1254	<10K
boli1256	10K-100K
cent2092	400000
inar1241	<10K
samo1305	500000
samo1303	<10K
skol1241	<10K
simt1238	10K-100K
sumb1241	300000
shon1251	9000000
sina1266	10K-100K
sind1272	32000000
noon1242	10K-100K
sang1331	400000
soni1259	2000000
sion1247	<10K
sian1257	10K-100K
sele1249	10K-100K
samm1244	<10K
sani1270	<10K
thai1259	10K-100K
song1305	10K-100K
soko1263	<10K
soma1255	22000000
song1303	1000000
kana1288	<10K
sout2807	14000000
sout2746	4000000
miyo1238	10K-100K
stan1288	490000000
saep1240	<10K
sele1250	<10K
sepe1240	<10K
supy1237	500000
sapo1253	<10K
samb1325	2000000
saba1262	200000
alba1267	6000000
squa1248	<10K
sora1254	400000
logu1236	500000
n/a	1000000
siri1274	<10K
isir1237	<10K
sara1340	10K-100K
sran1240	100000
camp1261	500000
serb1264	12000000
siri1273	<10K
sere1260	1000000
wara1299	200000
sirm1239	100000
sout2918	200000
suba1252	100000
siro1249	<10K
thao1240	<10K
seim1238	<10K
sooo1254	100000
swat1243	3000000
samb1321	<10K
saho1246	200000
bulo1242	10K-100K
maty1235	100000
aram1253	<10K
stel1238	10K-100K
owaa1237	<10K
ston1242	<10K
sout2976	10K-100K
sate1242	<10K
stra1244	<10K
silt1240	900000
sibe1250	10K-100K
sulk1246	<10K
west2557	100000
suen1241	<10K
shub1238	200000
suku1261	8000000
sund1252	42000000
mwag1236	200000
susu1250	1000000
sumb1240	200000
sunw1242	10K-100K
svan1243	10K-100K
vinc1243	100000
n/a	20000000
maor1244	1000000
swed1254	10000000
swab1242	800000
suii1243	300000
mala1475	500000
suau1242	<10K
suwa1241	<10K
shek1243	3000000
suba1238	100000
sang1336	200000
saar1237	<10K
uppe1400	2000000
saxw1241	200000
cent2089	100000
sylh1242	10000000
n/a	1000000
ngal1298	10K-100K
sile1253	500000
taba1259	100000
lowl1265	10K-100K
tahi1242	10K-100K
east2347	300000
tall1250	10K-100K
tami1289	78000000
nucl1696	200000
yami1254	<10K
taab1238	300000
tama1365	500000
cent2131	10K-100K
tata1255	4000000
uppe1437	<10K
tatu1247	<10K
taii1241	<10K
atay1247	10K-100K
taki1248	10K-100K
kaki1249	<10K
mand1440	<10K
nort2920	10K-100K
cala1258	10K-100K
tbol1240	10K-100K
tawa1275	10K-100K
temb1270	200000
tagb1258	10K-100K
taba1263	10K-100K
dita1238	200000
ticu1245	10K-100K
dato1239	10K-100K
sout2957	<10K
mali1285	10K-100K
wara1294	<10K
torr1261	<10K
tulu1258	2000000
thad1238	300000
panc1246	600000
tain1252	700000
west2415	300000
thul1246	10K-100K
taji1246	10K-100K
tetu1246	1000000
tand1256	1000000
teri1244	300000
tepo1239	10K-100K
hueh1236	<10K
teke1275	100000
ibal1241	200000
telu1262	81000000
timn1235	1000000
teso1249	2000000
tere1279	10K-100K
tetu1245	500000
tewa1260	<10K
tofi1235	10K-100K
teri1250	<10K
saga1262	10K-100K
tiga1245	<10K
toba1282	300000
taji1245	8000000
tand1258	10K-100K
sude1239	<10K
tang1347	<10K
cent2090	<10K
tang1355	<10K
tagw1240	100000
thai1261	70000000
thay1249	<10K
chit1274	300000
thar1283	200000
dang1260	2000000
thom1243	<10K
koch1247	300000
rana1246	1000000
tifa1245	<10K
tigr1270	1000000
timu1262	<10K
tika1246	100000
timb1251	10K-100K
tind1238	<10K
teop1238	<10K
tigr1271	9000000
tivv1240	5000000
tiwi1244	<10K
tiru1241	10K-100K
nort2732	10K-100K
tail1248	10K-100K
takw1238	4000000
toke1240	<10K
tsak1249	10K-100K
take1255	200000
kath1250	100000
uppe1275	<10K
tobe1252	10K-100K
tele1256	<10K
tlin1245	<10K
tali1258	10K-100K
tete1250	800000
kheh1237	<10K
taly1247	900000
tuma1260	10K-100K
haru1245	<10K
tuar1240	2000000
tami1290	<10K
taca1256	<10K
tani1257	<10K
maia1253	<10K
kwam1252	<10K
nort2847	<10K
whit1269	<10K
bedi1235	<10K
tont1239	200000
toba1269	10K-100K
coyu1235	200000
toma1245	200000
gizr1240	<10K
tong1321	200000
gito1238	400000
tong1318	2000000
tojo1241	10K-100K
tong1325	200000
xico1235	<10K
papa1238	10K-100K
topo1242	10K-100K
high1243	100000
tobi1238	<10K
taup1242	<10K
tokp1240	4000000
tlac1237	10K-100K
tamp1252	10K-100K
pisa1237	<10K
tlac1235	<10K
acat1239	10K-100K
tinp1237	<10K
toar1246	10K-100K
copa1237	10K-100K
trin1276	1000000
trin1274	10K-100K
tara1313	<10K
kokb1239	800000
sanm1298	10K-100K
chic1273	10K-100K
turo1239	300000
taro1264	10K-100K
torw1241	10K-100K
tswa1255	1000000
tsak1248	<10K
taus1251	1000000
tsha1245	200000
tswa1253	8000000
tson1249	13000000
tsou1248	<10K
tsis1238	200000
pure1242	10K-100K
tekt1235	<10K
taua1242	<10K
bwan1241	<10K
tuto1241	10K-100K
toor1238	500000
tera1251	100000
nort2741	15000000
musl1236	10K-100K
mutu1242	<10K
tuyu1244	<10K
cent2150	<10K
taul1251	<10K
tupu1244	200000
turk1304	11000000
tula1252	10K-100K
tumb1250	2000000
tuca1252	<10K
teda1241	10K-100K
nucl1301	82000000
turk1308	1000000
tuge1241	100000
tsuv1239	100000
sout2859	<10K
tuva1244	10K-100K
tavo1242	400000
tune1261	200000
west2559	10K-100K
twen1241	300000
taid1250	1000000
tasa1240	<10K
term1237	10K-100K
tewe1238	200000
tomb1244	10K-100K
tiii1241	10K-100K
kaya1330	<10K
tauy1241	<10K
taid1249	10K-100K
tuvi1240	300000
tayy1238	3000000
tzel1254	500000
tzut1248	10K-100K
cent2194	2000000
tzot1259	200000
tair1256	<10K
ubir1237	<10K
umbu1258	10K-100K
udih1248	<10K
udii1243	<10K
wuzl1236	10K-100K
udmu1245	300000
uduk1239	10K-100K
uigh1240	10000000
ukra1253	27000000
ukwu1241	200000
ulch1241	<10K
ulit1238	<10K
meri1244	<10K
umbu1257	7000000
mund1320	2000000
urip1239	<10K
urar1246	<10K
urub1250	<10K
urdu1245	70000000
urho1239	600000
urim1252	<10K
urak1238	<10K
urat1244	<10K
sopp1247	<10K
orya1242	<10K
usar1243	<10K
uspa1245	<10K
etul1245	10K-100K
urum1249	200000
urii1240	<10K
lote1237	<10K
kuku1280	<10K
uzbe1247	33000000
vagl1239	10K-100K
varh1239	7000000
vaii1241	300000
valm1241	<10K
vaip1239	10K-100K
huar1255	<10K
vasa1239	1000000
varl1238	400000
vene1258	4000000
velu1238	200000
vend1245	2000000
veps1250	<10K
momj1237	100000
virg1240	10K-100K
vidu1238	10K-100K
viet1252	76000000
vili1238	10K-100K
idun1242	<10K
teng1267	200000
vlaa1240	1000000
main1267	10000000
makh1260	4000000
mare1260	600000
makh1264	7000000
ayau1235	<10K
voti1245	<10K
sout2679	10K-100K
vunj1238	900000
vute1244	10K-100K
wals1238	10K-100K
waff1241	<10K
wola1242	7000000
wamp1249	<10K
wann1242	10K-100K
wapi1253	10K-100K
wara1300	3000000
kani1281	<10K
waiw1244	<10K
waya1269	<10K
wara1303	10K-100K
wakh1245	10K-100K
nucl1290	10K-100K
warl1254	<10K
wadd1237	200000
wagd1238	3000000
wanm1242	<10K
yano1262	<10K
waci1239	900000
weda1241	<10K
weme1239	300000
weri1253	10K-100K
came1254	2000000
weje1237	10K-100K
nucl1620	10K-100K
nort2921	10K-100K
waha1238	<10K
sout2797	10K-100K
wikm1247	<10K
wiru1244	10K-100K
mudu1242	<10K
waja1259	10K-100K
warj1253	10K-100K
wall1255	600000
wall1257	10K-100K
wich1263	10K-100K
wali1263	100000
waim1252	10K-100K
womp1235	<10K
walm1241	<10K
mwan1247	100000
want1252	<10K
wane1241	10K-100K
ndzw1235	300000
usan1239	<10K
weno1238	200000
nucl1347	4000000
hang1263	<10K
wara1302	<10K
wira1262	<10K
gara1269	<10K
worr1237	<10K
wari1266	<10K
merw1238	8000000
wask1241	10K-100K
wasa1244	300000
bert1248	400000
mewa1250	3000000
wuch1236	80000000
wuvu1239	<10K
waam1244	10K-100K
waxi1236	300000
wyan1247	<10K
wymy1235	<10K
kalm1243	400000
xamt1239	200000
xava1240	<10K
komb1272	<10K
kamb1299	200000
mala1480	500000
hdii1240	10K-100K
xere1240	<10K
kesa1244	<10K
xhos1239	10000000
kisa1261	200000
kamu1260	<10K
makh1262	500000
ming1252	300000
mala1481	800000
kana1286	<10K
nort2877	10K-100K
kang1280	2000000
soga1242	3000000
konk1269	900000
libe1247	800000
east2398	10K-100K
krik1239	<10K
tina1248	10K-100K
sioo1240	<10K
kase1253	200000
makh1266	200000
sher1255	200000
sanu1240	<10K
sais1237	<10K
alco1235	10K-100K
diux1235	<10K
sini1243	10K-100K
sanj1282	10K-100K
magd1235	<10K
nort2985	10K-100K
kuoo1238	10K-100K
xwel1235	10K-100K
yami1256	<10K
yagu1244	<10K
yaka1269	900000
yagn1238	10K-100K
yalu1240	100000
yamb1251	10K-100K
maya1285	<10K
yaoo1241	3000000
yape1248	<10K
yaqu1251	10K-100K
nugu1242	10K-100K
yamb1252	<10K
yang1293	10K-100K
agwa1247	10K-100K
loka1252	100000
yala1263	200000
yemb1246	300000
yawe1241	<10K
yucu1253	<10K
taro1263	300000
gepo1234	10K-100K
yaga1260	10K-100K
yagw1240	10K-100K
yidd1255	2000000
yind1247	<10K
yimc1240	10K-100K
nort2718	200000
yaka1277	100000
nort2745	<10K
yasa1242	<10K
yako1252	10K-100K
yele1255	<10K
yelo1243	<10K
angg1239	10K-100K
yill1241	<10K
iama1237	<10K
maay1238	9000000
yong1277	10K-100K
yans1239	10K-100K
yomb1244	700000
yong1280	<10K
yoru1245	50000000
yare1248	<10K
yaou1238	10K-100K
nene1249	10K-100K
nhen1239	10K-100K
sani1269	10K-100K
yess1239	<10K
yuca1254	800000
yuch1247	<10K
yuec1235	86000000
kark1258	<10K
yukp1241	<10K
yuro1248	<10K
yopn1238	<10K
yaum1237	<10K
sout2750	<10K
yura1255	<10K
nucl1454	10K-100K
wudi1238	200000
wume1235	200000
sier1250	<10K
sanj1284	10K-100K
ocot1244	10K-100K
cajo1238	<10K
yare1249	<10K
zagh1240	300000
isth1244	10K-100K
zara1247	<10K
zana1238	10K-100K
miah1235	<10K
ozol1235	<10K
zapo1437	400000
aloa1235	<10K
rinc1236	10K-100K
sant1450	<10K
taba1268	<10K
yatz1235	<10K
mitl1236	10K-100K
coat1244	<10K
ngaz1238	800000
zeeu1238	200000
nucl1379	100000
nort3180	16000000
ziaa1250	<10K
zinz1238	100000
zigu1244	400000
zimb1251	100000
nege1240	500000
mpuo1241	200000
mban1263	400000
zand1248	1000000
zouu1235	10K-100K
fran1266	10K-100K
lach1250	<10K
choa1237	10K-100K
sout3005	<10K
sanp1261	10K-100K
guev1238	<10K
sant1451	<10K
quia1235	<10K
lach1249	<10K
mixt1426	<10K
amat1238	10K-100K
zoog1238	<10K
sanv1242	<10K
yala1267	<10K
chic1274	<10K
texm1235	<10K
zapa1253	<10K
sout3004	10K-100K
xana1235	<10K
quio1241	<10K
guil1236	<10K
yate1242	<10K
zulu1248	12000000
zuni1245	<10K
youj1238	900000
zyph1238	10K-100K
zaza1246	3000000
